temperature,raw,answer
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
0.1,sunday,sunday
0.1,sunday,sunday
0.1,wednesday,wednesday
0.1,wednesday,wednesday
