source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q001,A,Animals,0,Axolotl,axolotl,1,0,1,Q001::0
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q001,A,Animals,1,Ailurus,ailurus,0,0,0,Q001::1
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q001,A,Animals,2,Ailuravictis,ailuravictis,0,0,0,Q001::2
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q001,A,Animals,3,Aye-Aye,aye-aye,1,0,1,Q001::3
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q001,A,Animals,4,Ailurus fulgens,ailurus fulgens,1,0,1,Q001::4
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q002,A,Jobs,0,Architectural Woodcarver,architectural woodcarver,1,0,1,Q002::0
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q002,A,Jobs,1,Archivist of Ancient Manuscripts,archivist of ancient manuscripts,0,0,0,Q002::1
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q002,A,Jobs,2,Aboriginal Protector,aboriginal protector,0,0,0,Q002::2
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q002,A,Jobs,3,Achaeology,achaeology,0,0,0,Q002::3
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q002,A,Jobs,4,Alpine Skier,alpine skier,1,0,1,Q002::4
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q003,B,Fruits,0,Bilima,bilima,0,0,0,Q003::0
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q003,B,Fruits,1,Bladderhorn Guava,bladderhorn guava,0,0,0,Q003::1
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q003,B,Fruits,2,Yubari King Melon,yubari king melon,0,0,0,Q003::2
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q003,B,Fruits,3,Barbatia,barbatia,0,0,0,Q003::3
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q003,B,Fruits,4,BurITA,burita,0,0,0,Q003::4
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q004,B,Things that are red,0,Bloodstone,bloodstone,0,0,0,Q004::0
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q004,B,Things that are red,1,Brickellium,brickellium,0,0,0,Q004::1
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q004,B,Things that are red,2,Brachiopods,brachiopods,0,0,0,Q004::2
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q004,B,Things that are red,3,Bleached bamboo shoot,bleached bamboo shoot,0,0,0,Q004::3
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q004,B,Things that are red,4,Burmese red breasted flycatcher,burmese red breasted flycatcher,0,0,0,Q004::4
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q005,C,Countries,0,Caboverde,caboverde,0,0,0,Q005::0
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q005,C,Countries,1,Cambodia,cambodia,1,0,1,Q005::1
part3_selfplay_outputs/self_obscure_20_llama_Player_1_Obscure.csv,self_obscure_20_llama_Player_1_Obscure,Q005,C,Countries,2,Congo Brazzaville,congo brazzaville,1,0,1,Q005::2
