source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q001,A,Animals,0,Albatross,albatross,1,0,1,Q001::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q001,A,Animals,1,Alpaca,alpaca,1,0,1,Q001::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q001,A,Animals,2,Antelope,antelope,1,1,0,Q001::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q001,A,Animals,3,Antelope,antelope,1,0,1,Q001::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q001,A,Animals,4,Albatross,albatross,1,0,1,Q001::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q002,A,Jobs,0,Accountant,accountant,1,0,1,Q002::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q002,A,Jobs,1,Architect,architect,1,0,1,Q002::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q002,A,Jobs,2,Apple,apple,0,0,0,Q002::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q002,A,Jobs,3,Apple,apple,0,0,0,Q002::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q002,A,Jobs,4,Architect,architect,1,0,1,Q002::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q003,B,Fruits,0,Banana,banana,1,1,0,Q003::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q003,B,Fruits,1,Banana,banana,1,1,0,Q003::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q003,B,Fruits,2,Banana,banana,1,0,1,Q003::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q003,B,Fruits,3,Banana,banana,1,1,0,Q003::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q003,B,Fruits,4,Banana,banana,1,1,0,Q003::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q004,B,Things that are red,0,berry,berry,1,0,1,Q004::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q004,B,Things that are red,1,Berry,berry,1,0,1,Q004::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q004,B,Things that are red,2,Berries,berries,1,0,1,Q004::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q004,B,Things that are red,3,berries,berries,1,0,1,Q004::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q004,B,Things that are red,4,Berry,berry,1,0,1,Q004::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q005,C,Countries,0,China,china,1,1,0,Q005::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q005,C,Countries,1,Canada,canada,1,1,0,Q005::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q005,C,Countries,2,Cuba,cuba,1,0,1,Q005::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q005,C,Countries,3,China,china,1,0,1,Q005::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q005,C,Countries,4,Canada,canada,1,1,0,Q005::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q006,C,Board games,0,Chess,chess,1,1,0,Q006::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q006,C,Board games,1,Chess,chess,1,1,0,Q006::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q006,C,Board games,2,Clue,clue,1,1,0,Q006::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q006,C,Board games,3,Chess,chess,1,0,1,Q006::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q006,C,Board games,4,Clue,clue,1,0,1,Q006::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q007,D,Musical instruments,0,Drum,drum,1,1,0,Q007::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q007,D,Musical instruments,1,Drum,drum,1,1,0,Q007::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q007,D,Musical instruments,2,Dulcimer,dulcimer,1,0,1,Q007::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q007,D,Musical instruments,3,drum,drum,1,0,1,Q007::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q007,D,Musical instruments,4,drum,drum,1,1,0,Q007::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q008,D,Things in a bathroom,0,Drying rack,drying rack,0,0,0,Q008::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q008,D,Things in a bathroom,1,door knob,door knob,1,0,1,Q008::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q008,D,Things in a bathroom,2,dishwasher,dishwasher,0,0,0,Q008::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q008,D,Things in a bathroom,3,Doorknob,doorknob,1,0,1,Q008::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q008,D,Things in a bathroom,4,Drying rack,drying rack,0,0,0,Q008::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q009,E,Sports,0,Equestrian,equestrian,1,1,0,Q009::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q009,E,Sports,1,Equestrian,equestrian,1,1,0,Q009::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q009,E,Sports,2,Equestrian,equestrian,1,1,0,Q009::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q009,E,Sports,3,Equestrian,equestrian,1,1,0,Q009::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q009,E,Sports,4,Equestrian,equestrian,1,1,0,Q009::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q010,E,Movie titles,0,ElizabethANJIULIE,elizabethanjiulie,0,0,0,Q010::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q010,E,Movie titles,1,ETvasion,etvasion,0,0,0,Q010::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q010,E,Movie titles,2,EnterTheVoid,enterthevoid,0,0,0,Q010::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q010,E,Movie titles,3,ElizabethMoonlightMelody,elizabethmoonlightmelody,0,0,0,Q010::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q010,E,Movie titles,4,Elephant Man,elephant man,1,0,1,Q010::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q011,F,Fish,0,Flounder,flounder,1,1,0,Q011::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q011,F,Fish,1,Flounder,flounder,1,1,0,Q011::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q011,F,Fish,2,Flounder,flounder,1,1,0,Q011::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q011,F,Fish,3,Flounder,flounder,1,1,0,Q011::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q011,F,Fish,4,Flounder,flounder,1,1,0,Q011::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q012,F,Things in a backpack,0,flashlight,flashlight,1,1,0,Q012::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q012,F,Things in a backpack,1,flashlight,flashlight,1,1,0,Q012::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q012,F,Things in a backpack,2,flashlight,flashlight,1,1,0,Q012::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q012,F,Things in a backpack,3,flashlight,flashlight,1,1,0,Q012::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q012,F,Things in a backpack,4,flashlight,flashlight,1,1,0,Q012::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q013,G,U.S. states,0,Georgia,georgia,1,1,0,Q013::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q013,G,U.S. states,1,Georgia,georgia,1,1,0,Q013::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q013,G,U.S. states,2,Georgia,georgia,1,1,0,Q013::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q013,G,U.S. states,3,Georgia,georgia,1,1,0,Q013::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q013,G,U.S. states,4,Georgia,georgia,1,1,0,Q013::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q014,G,Foods,0,Grilladed cheese,grilladed cheese,0,0,0,Q014::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q014,G,Foods,1,Gnocchi,gnocchi,1,0,1,Q014::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q014,G,Foods,2,Grapefruit,grapefruit,1,0,1,Q014::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q014,G,Foods,3,Granny Smith Apple,granny smith apple,1,0,1,Q014::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q014,G,Foods,4,Granny Smith Apple,granny smith apple,1,0,1,Q014::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q015,H,Famous scientists,0,Hooke,hooke,1,0,1,Q015::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q015,H,Famous scientists,1,Hubble,hubble,1,0,1,Q015::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q015,H,Famous scientists,2,Hershey,hershey,0,0,0,Q015::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q015,H,Famous scientists,3,Howard Hughes,howard hughes,0,0,0,Q015::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q015,H,Famous scientists,4,Hans Christian Ørsted,hans christian ørsted,1,0,1,Q015::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q016,H,Things at the beach,0,hat,hat,1,0,1,Q016::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q016,H,Things at the beach,1,Helmet,helmet,0,0,0,Q016::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q016,H,Things at the beach,2,helmet,helmet,0,0,0,Q016::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q016,H,Things at the beach,3,Hoverboard,hoverboard,0,0,0,Q016::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q016,H,Things at the beach,4,Hat,hat,1,1,0,Q016::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q017,I,Cities,0,Istanbul,istanbul,0,0,0,Q017::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q017,I,Cities,1,Istanbul,istanbul,0,0,0,Q017::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q017,I,Cities,2,Istanbul,istanbul,0,0,0,Q017::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q017,I,Cities,3,Istanbul,istanbul,0,0,0,Q017::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q017,I,Cities,4,Istanbul,istanbul,0,0,0,Q017::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q018,I,Things in a classroom,0,interior decoration,interior decoration,0,0,0,Q018::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q018,I,Things in a classroom,1,Inkwell,inkwell,1,0,1,Q018::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q018,I,Things in a classroom,2,Intercom,intercom,1,1,0,Q018::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q018,I,Things in a classroom,3,Interactboard,interactboard,1,0,1,Q018::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q018,I,Things in a classroom,4,interactive whiteboard,interactive whiteboard,1,0,1,Q018::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q019,J,Car brands,0,Jeep,jeep,1,0,1,Q019::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q019,J,Car brands,1,Jaguar,jaguar,1,1,0,Q019::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q019,J,Car brands,2,Jaguar,jaguar,1,0,1,Q019::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q019,J,Car brands,3,Jeep,jeep,1,0,1,Q019::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q019,J,Car brands,4,Jeep,jeep,1,1,0,Q019::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q020,J,Video game titles,0,Just Cause,just cause,1,0,1,Q020::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q020,J,Video game titles,1,Just Cause,just cause,1,0,1,Q020::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q020,J,Video game titles,2,JourneyToSelectorQuest,journeytoselectorquest,0,0,0,Q020::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q020,J,Video game titles,3,Just Cause 3,just cause 3,1,0,1,Q020::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q020,J,Video game titles,4,Journey Wilde,journey wilde,0,0,0,Q020::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q021,K,Superheroes,0,Kal-el,kal-el,1,0,1,Q021::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q021,K,Superheroes,1,Kickass,kickass,0,0,0,Q021::1
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q021,K,Superheroes,2,Kal-el,kal-el,1,0,1,Q021::2
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q021,K,Superheroes,3,Kal-el,kal-el,1,0,1,Q021::3
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q021,K,Superheroes,4,Katarn,katarn,0,0,0,Q021::4
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q022,K,Things in a grocery store,0,Ketchup,ketchup,1,1,0,Q022::0
part3_selfplay_outputs/self_opt_20_qwen_Player_1.csv,self_opt_20_qwen_Player_1,Q022,K,Things in a grocery store,1,Ketchup,ketchup,1,1,0,Q022::1
